0,red,1,2,0
1,rectangle,3,4,0
2,pentagon,5,6,0
3,small,7,8,0
4,hexagon,9,10,0
5,large,11,12,0
6,medium,13,14,0
7,,-1,-1,170
8,medium,17,18,0
9,medium,19,20,0
10,triangle,21,22,0
11,yellow,23,24,0
12,yellow,25,26,0
13,yellow,27,28,0
14,triangle,29,30,0
17,,-1,-1,164
18,large,37,-1,0
19,,-1,-1,193
20,large,41,42,0
21,small,43,44,0
22,circle,45,46,0
23,,-1,-1,137
24,green,49,50,0
25,medium,51,52,0
26,orange,53,54,0
27,circle,55,56,0
28,hexagon,57,58,0
29,orange,59,60,0
30,yellow,61,62,0
37,,-1,-1,134
41,,-1,-1,119
42,small,85,-1,0
43,,-1,-1,104
44,medium,89,90,0
45,small,91,92,0
46,small,93,94,0
49,,-1,-1,173
50,orange,101,-1,0
51,,-1,-1,110
52,small,105,-1,0
53,medium,107,108,0
54,green,109,-1,0
55,,-1,-1,125
56,rectangle,113,114,0
57,green,115,116,0
58,circle,117,118,0
59,large,119,120,0
60,small,121,122,0
61,large,123,124,0
62,large,125,126,0
85,,-1,-1,126
89,,-1,-1,160
90,large,181,-1,0
91,,-1,-1,127
92,medium,185,186,0
93,pentagon,187,-1,0
94,medium,189,190,0
101,,-1,-1,110
105,,-1,-1,144
107,,-1,-1,182
108,small,217,-1,0
109,small,219,220,0
113,,-1,-1,111
114,hexagon,229,230,0
115,,-1,-1,135
116,orange,233,-1,0
117,orange,235,236,0
118,rectangle,237,238,0
119,,-1,-1,170
120,small,241,-1,0
121,yellow,243,244,0
122,green,245,246,0
123,circle,247,248,0
124,circle,249,250,0
125,green,251,252,0
126,orange,253,254,0
181,,-1,-1,120
185,,-1,-1,141
186,large,373,-1,0
187,,-1,-1,124
189,pentagon,379,-1,0
190,pentagon,381,-1,0
217,,-1,-1,176
219,,-1,-1,177
220,medium,441,-1,0
229,,-1,-1,166
230,triangle,461,-1,0
233,,-1,-1,142
235,,-1,-1,180
236,green,473,-1,0
237,orange,475,476,0
238,triangle,477,-1,0
241,,-1,-1,153
243,,-1,-1,198
244,green,489,-1,0
245,large,491,-1,0
246,large,493,-1,0
247,,-1,-1,150
248,hexagon,497,498,0
249,small,499,-1,0
250,rectangle,501,502,0
251,hexagon,503,504,0
252,orange,505,-1,0
253,circle,507,508,0
254,small,509,-1,0
373,,-1,-1,137
379,,-1,-1,155
381,large,763,-1,0
441,,-1,-1,131
461,,-1,-1,116
473,,-1,-1,142
475,,-1,-1,109
476,green,953,-1,0
477,green,955,956,0
489,,-1,-1,104
491,,-1,-1,106
493,yellow,987,-1,0
497,,-1,-1,154
498,rectangle,997,-1,0
499,,-1,-1,191
501,small,1003,-1,0
502,small,1005,-1,0
503,,-1,-1,184
504,circle,1009,1010,0
505,circle,1011,1012,0
507,small,1015,-1,0
508,small,1017,-1,0
509,circle,1019,1020,0
763,,-1,-1,171
953,,-1,-1,169
955,,-1,-1,110
956,orange,1913,-1,0
987,,-1,-1,119
997,,-1,-1,169
1003,,-1,-1,161
1005,hexagon,2011,-1,0
1009,,-1,-1,130
1010,rectangle,2021,-1,0
1011,,-1,-1,101
1012,rectangle,2025,2026,0
1015,,-1,-1,168
1017,rectangle,2035,2036,0
1019,green,2039,-1,0
1020,green,2041,-1,0
1913,,-1,-1,127
2011,,-1,-1,109
2021,,-1,-1,108
2025,,-1,-1,113
2026,hexagon,4053,-1,0
2035,,-1,-1,137
2036,hexagon,4073,-1,0
2039,,-1,-1,178
2041,rectangle,4083,4084,0
4053,,-1,-1,190
4073,,-1,-1,180
4083,,-1,-1,197
4084,hexagon,8169,-1,0
8169,,-1,-1,110
